"Land";"Diplom";"Club";"K/L";"Bemerkung";"DB Seite";"ID"
"JA";"MG5";;"L";;136;1861
"JA";"WJDXRC";;"L";;137;2325
"FY";"DVSK";;"L";;138;1624
"W";"5 Band WAC";"CQ";"L";;140;1314
"JA";"Okinawa Award RSO";"RSO";"L";;141;2023
"DL";"Diplom Weißer Stock";"IBFD";"L";"S. 1386 / 1491 - Gebühr und Adresse neu, (RB38/39)";144;1625
"DL";"Worked Old Germany";"F39";"L";"Seite 1368 - Adresse neu";146;641
"DL";"Worked European Large Cities";"F38";"L";"Seite 1368: Adresse neu";146;642
"DL";"WOG";"F39";"L";"Seite 1368 - Adresse neu";146;2331
"DL";"WELC";"F38";"L";"Seite 1368: Adresse neu";147;2301
"DL";"WGD 11";"F38";"L";"QRT";148;2311
"JA";"Mitsu Award";;"L";;149;1871
"JA";"YO-DX-A";"YoDXC";"L";;150;2427
"PY";"BDXC";;"L";;153;1405
"PY0";"DIFEN";;"L";;154;1566
"YU";"HLA Heraclea Lyncestis Award";;"L";;155;1733
"EI";"Worked all EI Counties";;"L";;158;2251
"XE";"Certificado Mexico";;"L";"Long Drink";159;1471
"DL";"Red Ink Award";"RIA";"L";;160;2003
"DL";"Intern. Town Partnership Award";;"L";"Seite 1622: QRT";161;1002
"DL";"ABC - Diplom";;"L";"Seite 1622: QRT";162;351
"EA";"CAA";;"L";;164;1435
"I";"DRDC";;"L";;165;1612
"W";"VCCA";;"L";;169;2193
"W";"The Family Award";;"L";"QRT";170;2116
"W";"POA";;"L";;171;1959
"JY";"The Coral Award";;"L";;173;2112
"JA";"Lowband CC";;"L";"(RB43)";178;1832
"JA";"Worked all Yokohama";;"L";;179;2288
"JA";"WAIA";;"L";"QRT";180;2258
"I";"10000 km Award";;"L";;181;1292
"SM";"WASM";;"L";"QRT";182;2279
"IT9";"ATC Trapani City";;"L";;185;1381
"VR2";"Hong Kong Award";;"L";;187;1740
"W";"WCAC";;"L";;188;2298
"W";"Worked all Miramar";;"L";;189;2267
"W";"Connecticut Counties Award";;"L";;190;1446
"DL";"Bayreuth Diplom";"B06";"L";"QRT";191;1403
"W";"NCDXC";"NCDXC";"L";"QRT";191;1881
"DL";"WXRD - Wetterrunden-Diplom";;"L";;192;2382
"VE2";"Diplôme de la Ville de Quebec";;"L";"Seite 1622: QRT";193;1003
"LX";"Worked all Kayl";"ADRAD";"L";"QRT";193;2261
"SM";"WAZ 14 CA";;"L";"(RB43)";193;2290
"HI8";"HI8LC Award";;"L";;194;1728
"HI8";"Scorpion Group";;"L";;194;2052
"PA";"SWL-DXCC";;"L";"(RB29)";194;2088
"DL";"Deutsche Nachteulen-Diplom";;"L";;195;1603
"W";"ITU Suffix Award";;"L";"QRT";195;1776
"DL";"Worked all Mox Nix";"K16";"L";"Seite 1368 - Adresse neu";196;2268
"LX";"LX SOTA Award";;"L";"Seite 1765: Gebühr neu";197;1838
"DL";"Worked all Frisia Award";"I13";"L";;197;2255
"W";"Bicentennial WAS";;"K";"QRT";198;1414
"HA";"Budapest Award";;"L";"QRT - jetzt ""New Budapest Awatd"" S. 2202";198;1432
"W";"Worked all Minnesota";;"L";;199;2264
"DL";"WATVS";;"L";"Seite 1491: QRT";199;2283
"W";"WMCC";;"L";"QRT";199;2327
"SM";"100 SM5 Award";;"L";"QRT";201;1285
"SM";"100 SM Award";;"L";"QRT";201;1286
"SM";"Scandinavia Award";;"L";"QRT";201;2041
"W";"WWDC Award";"WWDC";"L";;202;2379
"5B";"Cyprus Award";;"L";"neue Adresse S.2076";203;1506
"I";"AZ Award";;"L";"ersetzt Seite 100";204;1388
"DL";"Vogelsberg-Diplom";"F25";"L";"QRT (S.1930)";204;2207
"I";"Faience Award";;"L";;205;1661
"HC";"DEHC";;"L";"Long Drink";206;1556
"PA";"Den Haag Award";;"L";"ersetzt Seite 25";206;1718
"DL";"Hamburg - Tor zur Welt";"E13";"L";"Seite 1824: QRT";207;1196
"IS0";"Sardegna Award";"ARI";"L";"ersetzt Seite 28";208;2039
"HA";"Balaton Award";;"L";;209;1393
"DL";"Norderstedt Diplom";"E12";"L";;211;1898
"ON";"50 OVRC";;"L";"QRT";213;1321
"DL";"Attempto 500 Diplom";"P12";"L";"QRT";214;1383
"DL";"Regensburg Diplom";"U13";"L";"Seite 1021 - ab 1993 QRT";215;1995
"I";"Louis Braille Award - Italia";;"L";;216;1831
"I";"WAIB";;"L";;216;2259
"JA";"WJA - Western Japan Award";;"L";"Seite 1368: QRT";218;2324
"SV";"W-RAAG-M";"RAAG";"L";"QRT";218;2390
"DL";"Marienburg-Diplom";"H39";"L";"Seiten 1386 / 1491 - Adresse + Konto neu";219;1845
"W";"Worked all El Paso";;"L";;220;2253
"DL";"Worked Emmen-Meppen";;"L";"QRT";221;2302
"DL";"Lübeck Diplom";"E03";"L";"QRT (S.1930)";223;1836
"PA";"Tilburg Certificat";;"L";"QRT";224;2147
"DL";"Siebengebirgs-Diplom";"G25";"L";"Seite 1491 - Manager neu";225;2061
"DL";"Worked Berlin West";"D05";"L";"QRT (S.1930)";225;2296
"YU7";"Vojvodina Award";;"L";;226;2208
"JY";"Arabian Knights Award";;"L";"(RB33), ersetzt S. 6/6a";227;1373
"JY";"Corsal Award";;"L";;227;1483
"JY";"Silver Award";;"L";"ersetzt Seite 173";227;2063
"DL";"30-M05-Diplom";"M05";"K";"QRT";228;1302
"SV";"Balcans Countries Award - BCA";"RAAG";"L";"QRT";229;1404
"SV";"EUA";"RAAG";"L";"QRT";229;1643
"SV";"SV-APA";"RAAG";"L";"QRT";229;2086
"SV";"WOA";"RAAG";"L";"QRT";229;2329
"ON";"Orion Award";;"L";"QRT";232;1926
"YO";"Pelendavia-Craiova Award";;"L";;232;1948
"ON";"Rubens Award";;"L";;234;2024
"PZ";"PZ Award";;"L";;237;1976
"JA";"One Day AJD";;"L";;238;1923
"DL";"ATV-Diplom";;"L";;239;1384
"ZS";"Highveld Branch";;"L";"Long Drink";239;1730
"DL";"Uetersen Diplom";"M21";"L";"S. 1930: Neue Adresse";240;2178
"F";"Ozoir-la-Ferriere Award";;"L";"QRT ???";241;1934
"PA";"Drechtsteden Award";;"L";"QRT";242;1613
"DL";"GGD";;"L";"QRT";243;1695
"Z3";"Makedonija Award";;"L";;243;1840
"I";"ARI Awards";"ARI";"B";;248;1376
"I";"CDM";;"L";"neu auf 2046";248;1447
"I";"CDM SWL";;"L";;248;1448
"I";"Diploma Guglielmo Marconi";;"L";;248;1562
"OE5";"OE5 B1 Diplom";;"L";;249;1907
"DL";"Rund um den Sender";"R07";"L";"Seite 1176 - QRT";251;2025
"DL";"Reckenberg Diplom";;"L";"Zusätze Seite 551 / 1178 / 1369 - S.1765: QRT";252;1993
"DL";"Brummi-Diplom";"IFF";"L";"Seite 1021: neuer Manager";253;97
"DL";"Old Heidelberg Diplom";"A06";"L";"ersetzt Seite 49 - QRT (S.1930)";254;1918
"DL";"Jubiläumsdiplom C15";"C15";"L";;255;1788
"DL";"Trompeter von Säckingen";"A17";"L";;255;2162
"W";"Worked all Zones - WAZ";;"L";;256;2289
"ZP9";"ZP9 Award";;"L";;257;2447
"W";"YL-SSB-WAS";;"L";;258;2408
"IS0";"Gold Sardinia";;"L";;260;1699
"W";"SJC";;"L";;260;2066
"I";"TTD";;"L";"(RB38/39)";261;2169
"I";"WERT";;"L";;261;2304
"I";"5 Band I Prefixes";;"L";;262;1674
"JA";"NKDXC";;"L";;262;1893
;"Islands of the World";;"L";"Seite 1176: QRT";263;356
"W";"Islands Award";;"L";;263;1768
"OE";"Stille-Nacht-Diplom";;"L";"Seite 1765: Gebühr neu";264;2080
"DL";"Frankenthal-Diplom";"F27";"L";;266;1679
"DL";"UKW DLD UHF";"DARC";"L";;267;2179
"P2";"Bird of Paradise";;"L";;268;1415
"DL";"HSC Award";"HSC";"L";;269;1744
"XE";"Mexico DX Award";;"L";;269;1855
"ZS1";"Cape Town Award";;"L";;271;1443
"DL";"Graf-Arco-Diplom";"H35";"L";"(RB38/39)";272;1703
"W";"Pee Gee Award";;"L";;272;1946
"PA";"Baronie DX Group Award";;"L";"QRT";273;1397
"SP";"Oswiecim Award";;"L";;274;1932
"F";"Nord Vogesen Award";;"L";"QRT 2001";281;1897
"I";"Targa Citta di Terni";;"L";"S. 1176 - Zusatzinfo - siehe auch 1386, (RB35)";281;2092
"DL";"Tower Award Regensburg";;"L";;282;2155
"ZL";"Horowhenua Branch";;"L";;286;1742
"VK";"The Wooley Bum";;"L";;287;2142
"I";"PUA";;"L";;292;1979
"PY";"Costa Brasileira";;"L";;293;1485
"W";"HAROAA";;"L";;299;1719
"W";"HAROAA DX";;"L";;299;1720
"W";"Insomnia Award";;"L";;299;1759
"W";"SCHA";;"L";;299;2042
"EL";"Worled all Liberia";;"L";;301;2262
"DL";"3-Türme-Diplom";"O08";"L";;303;1614
"W6";"California Award";;"L";;304;1437
"JA";"Aeskulap Diplom";;"L";;306;1340
"DL";"AFZ-Diplom";"DARC";"L";;307;1344
"DL";"UKW-DLD-UHF-SHF";"DARC";"L";;308;2182
"DL";"Lüneburger CW-Diplom";"E05";"L";"ersetzt Seite 288 - QRT (S.1930)";311;1837
"DL";"Schwaben-Diplom";;"L";"ersetzt S. 277 - QRT (S.1930)";311;2049
"DL";"Archaeopterix Award";"B20";"L";;312;1374
"DL";"EU-RTTY-Diplom";"DARC";"L";;312;1644
